ግዕዝ ,ትግርኛ 
ሀትሂላ,መዝሙር
ሀሙዒዳ,ዕድመ፡ ምሳሕ (ድግስ)
ሀይከል,ኣዳራሽ፡ ስም ሰበይቲ
ሀገሪት,መበቈል ዓዲ
ሄንባሩ,ውሻጠ
ህድመት,ትኽስ (ድቃስ)
ለስድ,ሓድሽ ልኻይ
ለንጽ,ግርምብያለ (ቤዛ ልብስ)
ሊቶስጥራ,ወጸቓ (መስፍሕ)
ላሕሎ,ከርፈስ
ላዕላዕ/ ለታት,ኰርታዕ፡ ባእባእ
ሌዋታን,ገበል ባሕሪ
ልበ እብን,ጨካን
ልጕን/ ልኵትንት,ቁራዕ
ልገት,ኣጕዶ፡ ሓለዋ ተኽሊ
ልግነት,ገዓት
ሐምለ ቅብእ,ሓምሊ ብርንሃዮ
ሐምለ ብኂእ,ስልጆ
ሐሠር,ሓሠር
ሐረፋ,ሓምሊ ኣድሪ
ሓሪፎት,ትምትሞ (ጸብሒ)
ሐሴን,ሽሶ፡ መራሕ ማይ
ሐሳይን,ሽሾታት፡ መራሕቲ ማይ
ሐብል,ገመድ
ሐንሐን,ሰርኖ ኣፍንጫ
ሐንዘር,ጭራ
ሐንዘር,ቅንፍዝ
ሐንዘር,ሐሰማ
ሐንጶን,ጠበቕ
ሐንጶን,ምንጭልቝት
ሐንጶን,ሕንጅጅ
ሐኖት,ዕዳጋ ሥጋ
ሐኖት,ቤት መስተ
ሐዊሳ,ደሐንዶ ውዒልካ፧
ሐይመት,ድንኳን
ሐፍ,ረሃጽ
ሔለይ,ጎብየ
ሔሌኔዎቱ,ኣዳራሽ
ሔንቄ,ቁማል
ሔው,ኣቦ ሓጎ
ሔውት,እኖ ሓጎ
ሕለት,ዘንጊ
ሕልቀት,ቀለቤት
ሕልያን,ብላዕ (ጉቦ)
ሕምስ,ማሕፀን (ሙፃአ ሕፃን)
ሕምር,ሒና
ሕንቅርት,ዓንቀር
ሕንዚር,መፍለስ
ሕንጽዋል,ሰዓዕ
ሕዋን,ቤት ንግዲ
ሕዋናት,ኣብያተ ንግዲ
ሕዳይ,ሰስሓ
ሕጥሜ,ፍረ ጡጥ
ሖጻድ,ቀለቤት መጋረጃ
መሀና,በረኸት ገጽ (ገጸ በረከት)
መለንስ,ንሂጕ
መልጰጶን,ዱባ
መምኤሉ,ጥፍረርያ
መረብ,መጻውድያ ዓሣ
መርዔት,መጓሰ
መራዕይ,መጓሰታት
መርሕብ,ጎልጎል፡ ኣደባባይ
መራሕብት,ኣደባባያት
መርኆ,መፍትሕ፡ ሥልጣን
መርመሬ,ቀምሽ ውሽጢ
መርሶ,መርሶ (ወደብ)
መርበብት,ሰኪዔት መግፈፍ ዓሣ
መርወይ,ሓርቢ፡ ብራሾ፡ ሻኳ
